seriesid,item_name,year_month,value
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-04,0.521
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-03,0.512
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-02,0.522
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2016-01,0.522
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-12,0.501
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-11,0.496
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-10,0.511
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-09,0.517
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-08,0.524
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-07,0.515
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-06,0.519
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-05,0.520
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-04,0.509
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-03,0.518
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-02,0.525
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",2015-01,0.545
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-12,1.032
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-11,1.061
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-10,1.056
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-09,1.078
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-08,1.085
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-07,1.039
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-06,1.018
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-05,1.002
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-04,1.025
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-03,1.014
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-02,1.001
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2024-01,1.000
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-12,0.990
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-11,0.992
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-10,0.960
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-09,0.981
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-08,0.997
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-07,1.006
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-06,1.003
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-05,0.997
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-04,0.980
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-03,0.982
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-02,0.959
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2023-01,0.970
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-12,0.971
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-11,0.963
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-10,0.963
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-09,0.939
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-08,0.925
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-07,0.929
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-06,0.924
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-05,0.909
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-04,0.900
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-03,0.871
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-02,0.830
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2022-01,0.832
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-12,0.820
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-11,0.844
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-10,0.788
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-09,0.798
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-08,0.784
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-07,0.782
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-06,0.778
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-05,0.801
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-04,0.785
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-03,0.772
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-02,0.779
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2021-01,0.794
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-12,0.789
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-11,0.791
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-10,0.766
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-09,0.777
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-08,0.769
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-07,0.772
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-06,0.749
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-05,0.748
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-03,0.733
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-02,0.734
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2020-01,0.716
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-12,0.714
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-11,0.721
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-10,0.773
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-09,0.797
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-08,0.793
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-07,0.798
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-06,0.801
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-05,0.761
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-04,0.767
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-03,0.757
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-02,0.762
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2019-01,0.730
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-12,0.712
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-11,0.711
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-10,0.685
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-09,0.693
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-08,0.705
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-07,0.690
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-06,0.689
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-05,0.698
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-04,0.685
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-03,0.682
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-02,0.691
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2018-01,0.682
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-12,0.711
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-11,0.712
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-10,0.723
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-09,0.741
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-08,0.753
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-07,0.764
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-06,0.752
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-05,0.726
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-04,0.686
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-03,0.692
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-02,0.695
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2017-01,0.700
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-12,0.693
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-11,0.703
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-10,0.697
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-09,0.721
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-08,0.729
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-07,0.740
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-06,0.734
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-05,0.747
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-04,0.703
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-03,0.711
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-02,0.707
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2016-01,0.709
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-12,0.711
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-11,0.732
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-10,0.690
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-09,0.662
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-08,0.669
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-07,0.673
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-06,0.691
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-05,0.676
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-04,0.670
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-03,0.670
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-02,0.689
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",2015-01,0.692
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-12,1.380
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-11,1.367
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-10,1.445
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-09,1.431
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-08,1.421
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-07,1.432
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-06,1.435
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-05,1.377
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-04,1.422
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-03,1.420
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-02,1.432
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2024-01,1.425
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-12,1.377
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-11,1.369
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-10,1.400
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-09,1.410
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-08,1.404
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-07,1.420
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-06,1.466
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-05,1.458
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-04,1.461
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-03,1.465
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-02,1.486
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2023-01,1.475
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-12,1.434
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-11,1.428
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-10,1.349
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-09,1.357
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-08,1.368
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-07,1.349
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-06,1.316
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-05,1.291
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-04,1.217
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-03,1.182
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-02,1.148
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2022-01,1.116
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-12,1.092
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-11,1.093
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-10,1.067
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-09,1.077
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-08,1.089
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-07,1.094
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-06,1.073
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-05,1.336
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-04,1.251
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-03,1.341
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-02,1.324
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2021-01,1.314
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-12,1.313
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-11,1.262
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-10,1.220
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-09,1.256
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-08,1.303
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-07,1.295
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-06,1.280
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-05,1.260
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-04,1.265
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-03,1.238
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-02,1.235
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2020-01,1.225
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-12,1.189
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-11,1.231
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-10,1.178
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-09,1.184
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-08,1.215
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-07,1.198
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-06,1.192
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-05,1.197
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-04,1.223
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-03,1.237
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-02,1.206
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2019-01,1.217
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-12,1.161
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-11,1.196
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-10,1.138
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-09,1.200
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-08,1.227
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-07,1.204
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-06,1.201
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-05,1.143
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-04,1.176
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-03,1.187
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-02,1.176
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2018-01,1.218
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2017-12,1.235
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2017-11,1.242
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2017-10,1.259
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",2017-09,1.299
